,name,NFLTeam,Pos,cost,keeper,team,manager
20,Royce Freeman,Den,RB,36,,Daized and Confused,Sean
37,Corey Davis,Ten,WR,35,,Bye Week,Doug
12,Jay Ajayi,Phi,RB,34,,Bye Week,Doug
162,Russell Wilson,Sea,QB,34,B,Cry me a Philip,Evan
160,Sammy Watkins,KC,WR,32,B,Cry me a Philip,Evan
45,Trey Burton,Chi,TE,31,,FirstRoundFlops,Rajiv
52,Cam Newton,Car,QB,30,,Bye Week,Doug
154,Mike Evans,TB,WR,30,AB,Daized and Confused,Sean
6,LeSean McCoy,Buf,RB,29,,Free-Mangina,Ryan
164,Odell Beckham Jr.,NYG,WR,29,AB,Yeebola,Ron
50,Dion Lewis,Ten,RB,29,,Free-Mangina,Ryan
174,Golden Tate,Det,WR,29,AB,Bye Week,Doug
8,Lamar Miller,Hou,RB,28,,Cry me a Philip,Evan
21,Tom Brady,NE,QB,28,,FirstRoundFlops,Rajiv
156,Adam Thielen,Min,WR,28,B,2 Gurley's 1 Cup,Matt
168,Davante Adams,GB,WR,27,AB,Seandon,Dai
49,Drew Brees,NO,QB,25,,Seandon,Dai
65,Chris Carson,Sea,RB,25,,G,Jiwei
163,Stefon Diggs,Min,WR,24,AB,Yeebola,Ron
40,Cooper Kupp,LAR,WR,24,,G,Jiwei
150,Doug Baldwin,Sea,WR,24,AB,FirstRoundFlops,Rajiv
62,Delanie Walker,Ten,TE,23,,Daized and Confused,Sean
31,Jimmy Graham,GB,TE,23,,Yeebola,Ron
16,Robert Woods,LAR,WR,23,,Chi ShingT's Team,Chi Shing
172,Devonta Freeman,Atl,RB,22,AB,Bye Week,Doug
51,Carlos Hyde,Cle,RB,22,,G,Jiwei
178,Kirk Cousins,Min,QB,22,AB,Douglast,Jake
30,Tevin Coleman,Atl,RB,22,,Chi ShingT's Team,Chi Shing
39,Wendell Smallwood,Phi,RB,21,,Daized and Confused,Sean
47,Jordy Nelson,Oak,WR,19,,Chi ShingT's Team,Chi Shing
43,Julian Edelman,NE,WR,19,,No bunny no fu fu,Andrew
36,Michael Crabtree,Bal,WR,19,,FirstRoundFlops,Rajiv
177,Michael Thomas,NO,WR,18,AB,Douglast,Jake
176,David Johnson,Ari,RB,18,AB,Free-Mangina,Ryan
57,Emmanuel Sanders,Den,WR,18,,2 Gurley's 1 Cup,Matt
161,Kyle Rudolph,Min,TE,17,AB,Cry me a Philip,Evan
167,Kenyan Drake,Mia,RB,17,B,Seandon,Dai
53,Marshawn Lynch,Oak,RB,16,,Free-Mangina,Ryan
74,Devin Funchess,Car,WR,15,,Bye Week,Doug
18,Kelvin Benjamin,Buf,WR,15,,Free-Mangina,Ryan
72,Isaiah Crowell,NYJ,RB,14,,Cry me a Philip,Evan
56,Matthew Stafford,Det,QB,14,,Cry me a Philip,Evan
55,O.J. Howard,TB,TE,14,,G,Jiwei
35,Adrian Peterson,Was,RB,12,,Douglast,Jake
191,Marvin Jones Jr.,Det,WR,12,B,G,Jiwei
7,Philip Rivers,LAC,QB,11,,No bunny no fu fu,Andrew
68,Jordan Reed,Was,TE,10,,2 Gurley's 1 Cup,Matt
88,Kerryon Johnson,Det,RB,10,,No bunny no fu fu,Andrew
190,Carson Wentz,Phi,QB,10,B,G,Jiwei
153,Alvin Kamara,NO,RB,9,B,Daized and Confused,Sean
87,Dez Bryant,Dal,WR,8,,Seandon,Dai
63,Matt Breida,SF,RB,8,,2 Gurley's 1 Cup,Matt
186,Evan Engram,NYG,TE,8,B,No bunny no fu fu,Andrew
34,Jacksonville,Jax,DEF,8,,Free-Mangina,Ryan
185,Tarik Cohen,Chi,RB,8,B,No bunny no fu fu,Andrew
189,Jordy Nelson,Oak,WR,7,,G,Jiwei
84,Bilal Powell,NYJ,RB,7,,Douglast,Jake
95,Sony Michel,NE,RB,7,,Yeebola,Ron
165,Josh Gordon,NE,WR,6,B,Yeebola,Ron
175,Deshaun Watson,Hou,QB,6,AB,Free-Mangina,Ryan
149,Austin Hooper,Atl,TE,6,,FirstRoundFlops,Rajiv
112,Marlon Mack,Ind,RB,6,,Yeebola,Ron
106,Greg Zuerlein,LAR,K,6,,Yeebola,Ron
0,Dak Prescott,Dal,QB,6,,Douglast,Jake
59,Chester Rogers,Ind,WR,6,,Bye Week,Doug
75,George Kittle,SF,TE,6,,Daized and Confused,Sean
69,Giovani Bernard,Cin,RB,5,,Cry me a Philip,Evan
125,Rashaad Penny,Sea,RB,5,,Seandon,Dai
86,Duke Johnson Jr.,Cle,RB,5,,Daized and Confused,Sean
152,Allen Robinson II,Chi,WR,5,B,Daized and Confused,Sean
83,DeVante Parker,Mia,WR,5,,Free-Mangina,Ryan
115,Kenny Golladay,Det,WR,5,,No bunny no fu fu,Andrew
155,Andrew Luck,Ind,QB,5,B,Daized and Confused,Sean
80,Taylor Gabriel,Chi,WR,5,,Douglast,Jake
159,Tyler Lockett,Sea,WR,5,B,Cry me a Philip,Evan
78,Dede Westbrook,Jax,WR,5,,Yeebola,Ron
77,Philadelphia,Phi,DEF,5,,2 Gurley's 1 Cup,Matt
133,Rashaad Penny,Sea,RB,5,,Seandon,Dai
171,Keelan Cole,Jax,WR,5,B,Bye Week,Doug
173,Corey Clement,Phi,RB,5,B,Bye Week,Doug
60,Stephen Gostkowski,NE,K,5,,Bye Week,Doug
179,Marquise Goodwin,SF,WR,5,B,2 Gurley's 1 Cup,Matt
181,Chris Thompson,Was,RB,5,B,Chi ShingT's Team,Chi Shing
183,Jimmy Garoppolo,SF,QB,5,B,Chi ShingT's Team,Chi Shing
100,James Conner,Pit,RB,5,,No bunny no fu fu,Andrew
184,Will Fuller V,Hou,WR,5,B,Chi ShingT's Team,Chi Shing
188,JuJu Smith-Schuster,Pit,WR,5,B,No bunny no fu fu,Andrew
97,Baltimore,Bal,DEF,5,,G,Jiwei
92,Josh Rosen,Ari,QB,5,,2 Gurley's 1 Cup,Matt
146,Raheem Mostert,SF,RB,4,,Cry me a Philip,Evan
93,Sterling Shepard,NYG,WR,4,,Free-Mangina,Ryan
142,Dallas Goedert,Phi,TE,4,,Daized and Confused,Sean
94,Justin Tucker,Bal,K,4,,Douglast,Jake
96,Jack Doyle,Ind,TE,4,,FirstRoundFlops,Rajiv
104,Keke Coutee,Hou,WR,4,,2 Gurley's 1 Cup,Matt
91,Chicago,Chi,DEF,3,,No bunny no fu fu,Andrew
109,Matt Ryan,Atl,QB,3,,G,Jiwei
99,Jerick McKinnon,SF,RB,3,,Bye Week,Doug
136,Dan Bailey,Min,K,3,,Free-Mangina,Ryan
122,Cameron Brate,TB,TE,3,,Bye Week,Doug
110,Chris Godwin,TB,WR,3,,Daized and Confused,Sean
102,Patrick Mahomes,KC,QB,3,,Chi ShingT's Team,Chi Shing
71,Jared Cook,Oak,TE,3,,2 Gurley's 1 Cup,Matt
129,Willie Snead IV,Bal,WR,3,,Douglast,Jake
105,Kenny Stills,Mia,WR,3,,G,Jiwei
119,Nick Chubb,Cle,RB,3,,Free-Mangina,Ryan
111,LeGarrette Blount,Det,RB,2,,Yeebola,Ron
182,David Moore,Sea,WR,2,,Chi ShingT's Team,Chi Shing
24,DeSean Jackson,TB,WR,2,,Douglast,Jake
121,Aaron Jones,GB,RB,2,,2 Gurley's 1 Cup,Matt
64,Jared Goff,LAR,QB,2,,2 Gurley's 1 Cup,Matt
118,Jake Elliott,Phi,K,2,,No bunny no fu fu,Andrew
147,Latavius Murray,Min,RB,1,,FirstRoundFlops,Rajiv
113,Wil Lutz,NO,K,1,,Cry me a Philip,Evan
114,Charles Clay,Buf,TE,1,,Seandon,Dai
116,Baker Mayfield,Cle,QB,1,,2 Gurley's 1 Cup,Matt
117,Mike Williams,LAC,WR,1,,FirstRoundFlops,Rajiv
124,New England,NE,DEF,1,,Cry me a Philip,Evan
134,Harrison Butker,KC,K,1,,FirstRoundFlops,Rajiv
139,Eric Ebron,Ind,TE,1,,Cry me a Philip,Evan
128,Calvin Ridley,Atl,WR,1,,Free-Mangina,Ryan
130,Donte Moncrief,Jax,WR,1,,Daized and Confused,Sean
132,C.J. Anderson,Car,RB,1,,Cry me a Philip,Evan
135,Cameron Brate,TB,TE,1,,Chi ShingT's Team,Chi Shing
137,Jameis Winston,TB,QB,1,,Daized and Confused,Sean
148,Tyrell Williams,LAC,WR,1,,FirstRoundFlops,Rajiv
140,Blake Bortles,Jax,QB,1,,FirstRoundFlops,Rajiv
120,Pittsburgh,Pit,DEF,1,,Douglast,Jake
144,John Brown,Bal,WR,1,,Cry me a Philip,Evan
145,Benjamin Watson,NO,TE,1,,FirstRoundFlops,Rajiv
187,Mitchell Trubisky,Chi,QB,0,,No bunny no fu fu,Andrew
101,Indianapolis,Ind,DEF,0,,Yeebola,Ron
46,Buffalo,Buf,DEF,0,,Seandon,Dai
42,Ronald Jones II,TB,RB,0,,Seandon,Dai
103,Antonio Callaway,Cle,WR,0,,No bunny no fu fu,Andrew
98,Indianapolis,Ind,DEF,0,,Daized and Confused,Sean
48,Vance McDonald,Pit,TE,0,,G,Jiwei
54,Ka'imi Fairbairn,Hou,K,0,,G,Jiwei
58,New York,NYJ,DEF,0,,Douglast,Jake
22,Peyton Barber,TB,RB,0,,Seandon,Dai
19,Phillip Dorsett,NE,WR,0,,Chi ShingT's Team,Chi Shing
61,Mike Davis,Sea,RB,0,,G,Jiwei
79,Peyton Barber,TB,RB,0,,No bunny no fu fu,Andrew
107,San Francisco,SF,DEF,0,,Free-Mangina,Ryan
82,Los Angeles,LAC,DEF,0,,Chi ShingT's Team,Chi Shing
126,Houston,Hou,DEF,0,,FirstRoundFlops,Rajiv
127,Adam Vinatieri,Ind,K,0,,Chi ShingT's Team,Chi Shing
131,Ito Smith,Atl,RB,0,,Yeebola,Ron
138,Tyler Boyd,Cin,WR,0,,Yeebola,Ron
141,Cleveland,Cle,DEF,0,,Chi ShingT's Team,Chi Shing
89,Ryan Succop,Ten,K,0,,G,Jiwei
85,Alfred Blue,Hou,RB,0,,G,Jiwei
81,Jameis Winston,TB,QB,0,,Seandon,Dai
66,Kyle Juszczyk,SF,RB,0,,Bye Week,Doug
123,Javorius Allen,Bal,RB,0,,Seandon,Dai
90,D.J. Moore,Car,WR,0,,Seandon,Dai
76,Ben Roethlisberger,Pit,QB,0,,Yeebola,Ron
73,Ito Smith,Atl,RB,0,,Bye Week,Doug
70,New York,NYJ,DEF,0,,Bye Week,Doug
108,Greg Olsen,Car,TE,0,,Douglast,Jake
67,Nyheim Hines,Ind,RB,0,,No bunny no fu fu,Andrew
143,Los Angeles,LAC,DEF,0,,Yeebola,Ron
